*300*
    0,    300,      1000,   2000,       4000,      6000,    10000,  17000,
 4800,	  500,	     500,	     0,	         0,	      	0,	     	0,	      0,
 5800,	  500,	     500,		 480,		       0,      	  0,		    0,		  0,
 6800,	  500,	     500,	   480,	       470,	      	0,	    	0,     	  0,
 7800,	  500,	     500,	   484,	       475,	    	460,	        0,		  0,
 8800,	  500,	     500,		 488,	       480,		    465,		  460,		  0,
 9800,	  500,	     500,		 492,	       485,		    470,		  465,		  0,
10800,	  500,	     500,		 495,	       489,		    475,		  470,		  0,
11800,	  500,	     501,		 498,	       493,		    480,		  475,		  0,
12800,	  500,	     502,		 501,	       497,		    485,		  481,		  0,
13800,	  500,	     503,		 502,	       501,		    490,		  487,		  0,
14800,	  500,	     504,		 503,	       505,		    495,		  493,		  0,
15800,    503,	     506,		 504,	       509,		    500,		  499,		  0,
16800,	  506,	     508,		 506,	       513,		    505,		  505,		  0,
17800,	  509,	     511,		 508,	       517,		    511,		  511,		  0,
18800,	  514,	     517,		 511,	       521,		    517,		  518,		  0,
19800,    520,	     524,		 523,	       525,		    523,		  525,		  0,
20800,	  527,	     529,		 503,	       529,		    529,		  532,		  0,
21800,	  535,	     535,		 529,	       533,		    535,		  539,		  0,
22800,	    0,	     541,	   536,		     538,		    541,		  546,		  0,
23800,	    0,	       0,	   543,		     544,		    548,		  553,		  0,
24800,	    0,	       0,	   550,		     551,		    556,		  560,		  0,
25800,	    0,	       0,	   557,		     557,		    564,		  568,		  0,
26800,	    0,	       0,	   564,		     563,		    572,		  576,		  0,
27800,	    0,	       0,	   570,		     569,		    580,		  584,		  0,
28800,	    0,	       0,	   576,		     575,		    588,	      592,		  0,
29800,	    0,	       0,	   581,		     581,		    596,		  600,		  0,
30800,	    0,	       0,	   586,		     587,	      604,		  609,		  0,
31800,	    0,	       0,	       0,		     0,       612,		  618,		  0,
32800,	    0,	       0,	       0,	       0,			    0,			0,	      0,
33800,      0,	       0,	       0,	       0,			    0,			0,	      0,
34800,	    0,	       0,	       0,	       0,			    0,		    0,		  0,
35800,	    0,	       0,	       0,	       0,			    0,		  	0,	      0,
36800,	    0,	       0,	       0,	       0,			    0,	  	0,	      0,
37800,	    0,	       0,	       0,	       0,			    0,		   	0,	      0,
    0,      0,         0,          0,            0,           0,            0,        0,    
    0,      0,         0,          0,            0,           0,            0,    	  0,
    0,      0,         0,          0,            0,           0,            0,    	  0,
    0,      0,         0,          0,            0,           0,            0,    	  0,
    0,      0,         0,          0,            0,           0,            0,    	  0,
    0,      0,         0,          0,            0,           0,            0,    	  0,
    0,      0,         0,          0,            0,           0,            0,    	  0,
    0,      0,         0,          0,            0,           0,            0,    	  0,
    0,      0,         0,          0,            0,           0,            0,    	  0,
    0,      0,         0,          0,            0,           0,            0,    	  0,
    0,      0,         0,          0,            0,           0,            0,    	  0,
    0,      0,         0,          0,            0,           0,            0,    	  0,
    0,      0,         0,          0,            0,           0,            0,    	  0,
    0,      0,         0,          0,            0,           0,            0,    	  0,
    0,      0,         0,          0,            0,           0,            0,    	  0,
    0,      0,         0,          0,            0,           0,            0,    	  0,
    0,      0,         0,          0,            0,           0,            0,    	  0,
    0,      0,         0,          0,            0,           0,            0,    	  0,
    0,      0,         0,          0,            0,           0,            0,    	  0,
    0,      0,         0,          0,            0,           0,            0,    	  0,
    0,      0,         0,          0,            0,           0,            0,    	  0,
    0,      0,         0,          0,            0,           0,            0,    	  0,
    0,      0,         0,          0,            0,           0,            0,    	  0,
    0,      0,         0,          0,            0,           0,            0,    	  0,
    0,      0,         0,          0,            0,           0,            0,    	  0,
    0,      0,         0,          0,            0,           0,            0,    	  0,
    0,      0,         0,          0,            0,           0,            0,    	  0,
    0,      0,         0,          0,            0,           0,            0,    	  0,
    0,      0,         0,          0,            0,           0,            0,    	  0,
    0,      0,         0,          0,            0,           0,            0,    	  0,
    0,      0,         0,          0,            0,           0,            0,    	  0,
    0,      0,         0,          0,            0,           0,            0,    	  0,
    0,      0,         0,          0,            0,           0,            0,    	  0,
    0,      0,         0,          0,            0,           0,            0,    	  0,
    0,      0,         0,          0,            0,           0,            0,    	  0,
    0,      0,         0,          0,            0,           0,            0,    	  0,
    0,      0,         0,          0,            0,           0,            0,    	  0,
    0,      0,         0,          0,            0,           0,            0,    	  0,
    0,      0,         0,          0,            0,           0,            0,    	  0,
    0,      0,         0,          0,            0,           0,            0,    	  0;
*150*
    0,    300,        1000,         2000,           4000,          6000,        10000,      17000,
 4800,	  500,		   500,		       0,		       0,		      0,		    0,		    0,
 5800,	  500,		   500,		     480,		       0,		      0,		    0,			0,
 6800,	  500,		   500,		     480,		     470,			  0,		    0,		    0,
 7800,	  500,		   500,		     484,		     475,		    460,		    0,			0,
 8800,	  500,		   500,		     488,		     480,		    465,		  460,			0,
 9800,	  500,		   500,		     492,		     485,		    470,		  465,			0,
10800,	  500,		   500,		     495,		     489,		    475,		  470,			0,
11800,	  500,		   501,		     498,		     493,		    480,		  475,			0,
12800,	  500,		   502,		     501,		     497,		    485,		  481,			0,
13800,	  500,		   503,		     502,		     501,		    490,		  487,			0,
14800,	  500,		   504,		     503,		     505,		    495,		  493,			0,
15800,	  503,		   506,		     504,		     509,		    500,		  499,		    0,
16800,	  506,		   508,		     506,		     513,		    505,		  505,		    0,
17800,	  509,		   511,		     508,		     517,		    511,		  511,		    0,
18800,	  514,	  	 517,		     511,		     521,		    517,		  518,		    0,
19800,	  520,		   524,		     517,		     525,		    523,		  525,		    0,
20800,	  527,		   529,		     523,		     529,		    529,		  532,		    0,
21800,	  535,		   535,		     529,		     533,		    535,		  539,		    0,
22800,	    0,	     541,		     536,		     538,		    541,		  546,			0,
23800,	    0,		     0,		     543,		     544,		    548,		  553,			0,
24800,	    0,		     0,		     550,		     551,		    556,		  560,			0,
25800,	    0,		     0,		     557,		     557,		    564,		  568,			0,
26800,	    0,		     0,		     564,		     563,		    572,		  576,			0,
27800,	    0,		     0,		     570,		     569,		    580,		  584,			0,
28800,	    0,		     0,		     576,		     575,		    588,			592,		    0,
29800,	    0,		     0,		     581,		     581,		    596,			600,		    0,
30800,	    0,		     0,		       0,		     587,		    604,		  609,		    0,
31800,	    0,		     0,		       0,		       0,		    612,			618,		    0,
32800,	    0,		     0,		       0,		       0,		      0,			0,		    0,
33800,	    0,		     0,		       0,		       0,		      0,			0,		    0,
34800,	    0,		     0,		       0,		       0,		      0,			0,		    0,
35800,	    0,		     0,		       0,		       0,		      0,			0,		    0,
36800,	    0,		     0,		       0,		       0,		      0,			0,	        0,
37800,	    0,		     0,		       0,		       0,		      0,			0,		    0,
    0,	  	0,		     0,		       0,		       0,		      0,	        0,		    0, 
    0,	  	0,		     0,		       0,		       0,		      0,	        0,		    0, 
    0,	  	0,		     0,		       0,		       0,		      0,	        0,		    0, 
    0,	  	0,		     0,		       0,		       0,		      0,	        0,		    0, 
    0,	  	0,		     0,		       0,		       0,		      0,	        0,		    0, 
    0,	  	0,		     0,		       0,		       0,		      0,	        0,		    0, 
    0,	  	0,		     0,		       0,		       0,		      0,	        0,		    0, 
    0,		0,		     0,		       0,		       0,		      0,	        0,		    0, 
    0,	  	0,		     0,		       0,		       0,		      0,	        0,		    0, 
    0,		0,		     0,		       0,		       0,		      0,	        0,		    0, 
    0,	  	0,		     0,		       0,		       0,		      0,		    0,		    0, 
    0,	  	0,		     0,		       0,		       0,		      0,		    0,		    0, 
    0,	  	0,		     0,		       0,		       0,		      0,		    0,		    0, 
    0,	  	0,		     0,		       0,		       0,		      0,		    0,		    0, 
    0,	  	0,		     0,		       0,		       0,		      0,		    0,		    0, 
    0,	  	0,		     0,		       0,		       0,		      0,		    0,		    0, 
    0,	  	0,		     0,		       0,		       0,		      0,		    0,		    0, 
    0,	  	0,		     0,		       0,		       0,		      0,		    0,		    0, 
    0,	  	0,		     0,		       0,		       0,		      0,		    0,		    0, 
    0,	  	0,		     0,		       0,		       0,		      0,		    0,		    0, 
    0,	  	0,		     0,		       0,		       0,		      0,		    0,		    0, 
    0,	  	0,		     0,		       0,		       0,		      0,		    0,		    0, 
    0,	  	0,		     0,		       0,		       0,		      0,		    0,		    0, 
    0,	  	0,		     0,		       0,		       0,		      0,	        0,	        0, 
    0,	  	0,		     0,		       0,		       0,		      0,	        0,	        0, 
    0,	  	0,		     0,		       0,		       0,		      0,	        0,	        0, 
    0,	  	0,		     0,		       0,		       0,		      0,	        0,	        0, 
    0,	  	0,		     0,		       0,		       0,		      0,	        0,	        0, 
    0,	  	0,		     0,		       0,		       0,		      0,	        0,	        0, 
    0,	  	0,		     0,		       0,		       0,		      0,	        0,	        0, 
    0,      0,           0,            0,              0,             0,            0,    	    0,
    0,      0,           0,            0,              0,             0,            0,    	    0,
    0,      0,           0,            0,              0,             0,            0,    	    0,
    0,      0,           0,            0,              0,             0,            0,    	    0,
    0,      0,           0,            0,              0,             0,            0,    	    0,
    0,      0,           0,            0,              0,             0,            0,    	    0,
    0,      0,           0,            0,              0,             0,            0,    	    0,
	0,      0,           0,            0,              0,             0,            0,    	    0,
	0,      0,           0,            0,              0,             0,            0,    	    0,
    0,      0,           0,            0,              0,             0,            0,    	    0;
*420*
    0,    300,        1000,       2000,       4000,      6000,    10000,      17000,
 4800,	    0,	         0,	         0,	         0,	        0,	      0,	      0,
 5800,	  500,		   500,	         0,	         0,	        0,	      0,	      0,
 6800,	  500,		   500,	       480,	         0,	        0,	      0,	      0,
 7800,	  500,		   500,	       484,	       470,	        0,	      0,	      0,
 8800,	  500,		   500,	       488,	       475,	      460,	      0,	      0,
 9800,	  500,		   500,	       492,	       480,	      465,	    460,	      0,
10800,	  500,		   500,	       495,	       485,	      470,	    465,	      0,
11800,	  500,		   500,	       498,	       489,	      475,	    470,	      0,
12800,	  500,		   501,	       501,	       493,	      480,	    475,	      0,
13800,	  500,		   502,	       502,	       497,	      485,	  	481,	      0,
14800,	  500,		   503,	       503,	       501,	      490,	    487,	      0,
15800,	  500,		   504,	       504,	       505,	      495,	    493,	      0,
16800,	  503,		   506,	       506,	       509,	      500,	    499,	      0,
17800,	  506,		   508,	       508,	       513,	      505,	    505,	      0,
18800,	  509,		   511,	       511,	       517,	      511,	    511,	      0,
19800,	  514,		   517,	       517,	       521,	      517,	    518,	      0,
20800,	  520,		   524,	       523,	       525,	      523,	    525,	      0,
21800,	  527,		   529,	       529,	       529,	      529,	    532,	      0,
22800,	  535,		   535,	       536,	       533,	      535,	    539,	      0,
23800,	  540,		   541,	       543,	       538,	      541,	    546,	      0,
24800,	  545,		   546,	       550,	       544,	      548,	    553,	      0,
25800,	  550,		   551,	       557,	       551,	      556,	    560,	      0,
26800,	    0,		   556,	       564,	       557,	      564,	    568,	      0,
27800,	    0,	     560,	       570,	       563,	      572,	    576,	      0,
28800,	    0,	     564,	       576,	       569,	      580,	    584,	      0,
29800,	    0,	         0,	     581,	       575,	      588,	    592,	      0,
30800,	    0,	         0,	     586,	       581,	      596,	    600,	      0,
31800,	    0,	         0,	     590,	       587,	      604,	    609,	      0,
32800,	    0,	         0,	     593,	       593,	      612,	    618,	      0,
33800,	    0,	         0,	     596,	       599,	      619,	    624,	      0,
34800,	    0,	         0,	         0,	     605,	      626,	    630,	      0,
35800,	    0,	         0,	         0,	         0,	    633,	    636,	      0,
36800,	    0,	         0,	         0,	         0,	        0,	  642,	      0,
37800,	    0,	         0,	         0,	         0,	        0,	      0,	      0,
    0,	    0,		     0,		     0,		     0,		    0,	      0,		  0,
    0,	    0,		     0,		     0,		     0,		    0,	      0,		  0,
    0,	    0,		     0,		     0,		     0,		    0,	      0,		  0,
    0,	    0,		     0,		     0,		     0,		    0,	      0,		  0,
    0,	    0,		     0,		     0,		     0,		    0,	      0,		  0,
    0,	    0,		     0,		     0,		     0,		    0,	      0,		  0,
    0,	    0,		     0,		     0,		     0,		    0,	      0,		  0,
    0,	    0,		     0,		     0,		     0,		    0,	      0,		  0,
    0,	    0,		     0,		     0,		     0,		    0,	      0,		  0,
    0,	    0,		     0,			 0,		     0,		    0,	      0,		  0,
    0,	    0,		     0,		     0,		     0,		    0,	      0,		  0,
    0,	    0,		     0,		     0,		     0,		    0,	      0,		  0,
    0,	    0,		     0,		     0,		     0,		    0,	      0,		  0,
    0,	    0,		     0,		     0,		     0,		    0,	      0,		  0,
    0,	    0,		     0,			 0,		     0,		    0,	      0,		  0,
    0,	    0,			 0,			 0,		     0,		    0,	      0,		  0,
    0,	    0,		     0,			 0,		     0,		    0,	      0,	  	  0,
    0,	    0,		     0,			 0,		     0,		    0,	      0,	  	  0,
    0,	    0,		     0,			 0,		     0,		    0,	      0,	  	  0,
    0,	    0,		     0,			 0,		     0,		    0,	      0,		  0,
    0,	    0,		     0,			 0,		     0,		    0,	      0,		  0,
    0,	    0,		     0,			 0,		     0,		    0,	      0,		  0,
    0,	    0,		     0,			 0,		     0,		    0,	      0,		  0,
    0,	    0,		     0,			 0,		     0,		    0,		  0,		  0,
    0,	    0,		     0,			 0,		     0,		    0,		  0,		  0,
    0,	    0,	         0,			 0,		     0,		    0,		  0,		  0,
    0,	    0,		     0,			 0,		     0,		    0,		  0,		  0,
    0,	    0,		     0,			 0,		     0,		    0,		  0,		  0,
    0,	    0,			 0,			 0,		     0,		    0,		  0,		  0,
    0,      0,           0,          0,          0,         0,        0,          0,
    0,      0,           0,          0,          0,         0,        0,          0,
    0,      0,           0,          0,          0,         0,        0,          0,
    0,      0,           0,          0,          0,         0,        0,          0,
    0,      0,           0,          0,          0,         0,        0,          0,
    0,      0,           0,          0,          0,         0,        0,          0,
    0,      0,           0,          0,          0,         0,        0,          0,
    0,      0,           0,          0,          0,         0,        0,          0,
    0,      0,           0,          0,          0,         0,        0,          0,
    0,      0,           0,          0,          0,         0,        0,          0,
	0,      0,           0,          0,          0,         0,        0,    	  0;
